cohort,condition_id,trades,sum_edge
no grade,0xb1bea3b5e98b585669dc8d83cd03d8ea5807af39e1db781e11c58f45303a3bc8,1,0.500000
D/F,0x301682a5798eacb829ab964565e862c714fdf8cf5add915525baca20423f7ad5,1,0.150000
no grade,0x5241c33d330d74f70f925248d46939143230e26fd5d1dbc5eefa4b4edcc6f27b,1,0.212050
C,0x0aa8043fb24eee226d2fdcd4c439e1d8ff908050051a47f5efacd81c53b0d934,1,0.098228
S/A/B,0xf02193822b4d841e57f8458445deac89907911e58b4470d4c1506b300602f13c,2,-0.350000
C,0xac8d629b6c47d8500ee4f9cbbe5cefebb15cbb696faba06ec5bdbbf247136038,3,0.260000
no grade,0x339f23dbf2dc7dc5631d5d978b22ef8fdeefedc19316c9824a0a206f3272bc9b,1,0.050000
C,0x577d6803441f508c1fe12e1cd483625b832b562416897eda0757e3e5ca4ebaa9,2,0.000423
S/A/B,0x0cc2b33bce402f745a4e020611ec2046594af8dd4aff72c6b77feddc62681b3a,3,0.103000
no grade,0x9f05b3d84abb830d3c6b4d9f9ad3d18905d015bf54e03e51d0e3fb7aabcee942,2,-0.820597
no grade,0xe002b726933ef474564027488fd365d52a2c9f2b8621863dac55dc90cbd6e800,2,-0.834563
no grade,0x1913f131a305e50c00a4663cf795590ff019b41d0af014ff208c55aa3d033fe0,1,0.590000
D/F,0xa591124b824dd4b1ecc2a6ade255dd6063c979e1fe91c1706ec1c7229380ab39,2,0.160000
D/F,0xbba3868b663b28bd282528e066dacc3b0bf8c92286e1e824cfd9f1b394d6d800,2,-0.260000
no grade,0x64f168ba4c1d61bb7be26f6644d0ce7b4574a2aa65840c8478ed7e35499e541f,1,0.110000
D/F,0x57924924e3903f1005489be2e434e43637ebbfed31d0f3077302b0567936c015,1,0.160000
S/A/B,0x0fa502d616fd9802f245ecae41daf67cf57c69786576c2399bf75836ccf7031c,2,0.380000
D/F,0x71d026e2e338042c3cc06ce61f59c40adededa6d58c63a4e0496c2cffb304388,2,0.010000
D/F,0x68ef0c84a9af511e660637f98f5c242901a7433c4bf01e61125460f63722b357,1,0.150000
no grade,0x8dd4113db9cb24ea4a875c0c5f15715325025aa29cd2e3f8cc12e520a15511d4,3,0.510000
S/A/B,0x93b49c1683f4c78e11ce341fb8cde70eb104419da5d3ec536e5f8faa810cd1b0,4,0.410000
