nhl	nhl-nyi-wsh-2026-02-02	Islanders	Capitals
nhl	nhl-edm-las-2026-03-08	Oilers	Golden Knights
nhl	nhl-bos-tor-2025-01-04	Bruins	Maple Leafs
nhl	nhl-car-wsh-2025-05-15	Hurricanes	Capitals
nhl	nhl-car-wsh-2026-01-31	Hurricanes	Capitals
nhl	nhl-sea-edm-2025-09-24	Kraken	Oilers
nhl	nhl-mon-cbj-2025-11-17	Canadiens	Blue Jackets
nhl	nhl-wpg-dal-2026-02-02	Jets	Stars
nhl	nhl-sea-nj-2026-01-14	Kraken	Devils
nhl	nhl-stl-cal-2025-10-11	Blues	Flames
nhl	nhl-ana-pit-2025-12-10	Ducks	Penguins
nhl	nhl-fla-phi-2024-12-05	Panthers	Flyers
nhl	nhl-chi-nsh-2025-03-08	Blackhawks	Predators
nhl	nhl-cbj-van-2024-12-06	Blue Jackets	Canucks
nhl	nhl-ana-ott-2024-12-11	Ducks	Senators
nhl	nhl-tor-pit-2024-12-07	Maple Leafs	Penguins
nhl	nhl-edm-phi-2025-02-22	Oilers	Flyers
nhl	nhl-bos-nyr-2025-01-02	Bruins	Rangers
nhl	nhl-bos-fla-2026-02-04	Bruins	Panthers
nhl	nhl-edm-las-2025-05-06	Oilers	Golden Knights
