grp,condition_id,n,sum_edge
All sports | Taking points,0xcdb2c33b42cf83d328c795dcc9620c5cfa17167ef53c89232aea54c725ace017,6,0.560000
b. 30-50c | Taking points,0x16416d860bb4292d22897b52b12ef561e462d28f5ef85adb0174c528a39219d6,2,-0.710000
In-play | Laying points,0x1d44c121aa041a31d4ef55582fe9a41e64bf2f8f5782b0b970c013e59bd18ac9,1,0.468114
In-play | Laying points,0xd0958c62c451f0f94699fb40b48e70f53407cfcae1930005b449214e0fc831cc,1,0.163118
In-play | Taking points,0x171b30b8d5ab80f73a4506ac473062bcffb02f2951042939d51189a99ddfba80,1,0.559681
Before the start | Laying points,0x9cb4bcfcc7dfd4046f3b94518cab75ea4cf903749d93d61b360c834ab043004f,2,-0.609896
Soccer | Taking points,0x4e9ad93f6a8446b1f5771ad164c9a2cf9a28954643012d5a8b705e47755204a2,35,8.471955
Before the start | Taking points,0xaf87e772ea1c22bc81b247d4e7bf2f04ad3237c74ed6d9126f829be1344adb75,4,-2.597186
In-play | Taking points,0x17a81ab01b9bd20133ddb368368e4fcecde6a0561fdeb2b2ddfbcbc747ee07e9,27,8.680000
In-play | Taking points,0x670a76c02d78d05e78b2f823e4e101825bcf8f63a4587f9e4aefcfe99393ecbf,1,0.030002
In-play | Laying points,0x1cfed99876853c9899b657df349e68fe2bf304efeb9531ca23efdf582c0ad7a6,1,0.450289
