grp,condition_id,n,sum_edge
all sells,0xbbd60595f34dcd69aaca713e3013666fed12c12d2896085c1bbabe620605041e,1,0.048868
all sells,0x4795571ed1c6992ca07b6d34853d07d07ef4977b892660b4205cd2f3752c4826,1,-0.520473
all sells,0xdb6d800c5a747965d1bdea8c0e61a2116305f75e45c46ae4c6596f795f4e6a5e,2,-1.201171
band f. 80-90c,0x17250202dcfe6c91900281c2956605432af58024488ba5b199f7b7efb0f228bb,1,0.140000
all sells,0x481b5bc54a46664448785e4e54d2f6c21e0bf7227fd762b198933abe0efdcf5a,1,0.591847
band f. 80-90c,0xc41f543ccb7a1a35a200c28096cc2e5c2351c54546087f4f6cf5c4ef3e0c1aa5,2,0.299144
band b. 10-20c,0x731d3440369f4e92d0223215323645ac6b3b40c19f2fe03885ec7dc3ce1abad1,1,-0.170154
band c. 20-40c,0x01eff9fa8069fd6046d63a74af69af3ddbc8acfcfcdf5c4494fed19cadbd1d18,5,1.627861
band c. 20-40c,0xa5f86311db681e5bb7f248fec11f5455d3b98cce68b307b3cd8d8067a65dff6d,3,-0.681375
band e. 60-80c,0xe467a3bc07511a3bb95b8bcdb0c016860652aeb21461d99ff8c3a57849ae9df0,1,-0.600000
all sells,0x6c43cbb5a2a15a9c25d4a6271ab87ed44d5839f6ea28bb27f66ae42ba9aaa8df,1,0.211410
band b. 10-20c,0x0c721a05763ecc28de5f8fdfd7ae1d666cf4301fed30706f55025da3107ff2be,1,-0.170000
band d. 40-60c,0x08fd1a5344a2a76fd17cd632927947d56275db8f7c7a72bf893b00301b265866,1,-0.400762
band g. 90-98c,0xf8ffcfc886862489b3022fd24c66473ce21d1303d24a13e874a3b43b6fca03df,1,0.070000
all sells,0x915dc8a641e81928637fa9ee6f277e23038318be64fa829e3883ea78d31f7f95,1,0.132652
band e. 60-80c,0xb90b14ff7f11b153905fc0865c3fb285e35f288ac0d5d3b23e9d4e03f253ba5f,1,0.330000
band g. 90-98c,0x74adca78af18b8a3c9ef8e5710b82e29ab2c08a6b58d600465fd479260a31487,1,0.055671
all sells,0xc2fcce9165ac160807304db5dc0ec730dfd6d17c02a23c0dafce10a471833725,1,-0.760000
all sells,0x758f18f0244a6e66919187f6dd3891e61e1611d976388afeec198fa7db1dcfad,1,0.137196
all sells,0x8626403d6328dac29003229bcfef807e4bf41c4763324d2772a08dc50ab55abd,3,0.360000
all sells,0x278c5dbfa7735eb2df96a5752f960daee2e3a8e5f4fe57eb9d5648bf03aeefb8,1,0.402551
band d. 40-60c,0xea1d5369b6eb6ec577c5a08dca07bb9d03ad7437cf0ab097d923a502d1da03ff,6,-1.210528
all sells,0x6f05c7bc5ad978f8f9916f05d30a7f752e02b81508c56d82ed7c9245bca163b0,35,5.991247
band g. 90-98c,0x64f168ba4c1d61bb7be26f6644d0ce7b4574a2aa65840c8478ed7e35499e541f,1,0.049937
all sells,0x71b99ad4a0487f342380ec5efc79d86247ef2f5c165e92c7549baf3bc36fdc5b,1,-0.520000
band b. 10-20c,0xa5c34a67f76f57b54c2b02de07fda95fd0789e252fd595c2f27564509989cb82,1,-0.190000
all sells,0xffa05800960fb8b1532c0f3f99f51b4996c9b447b0b195635e644e071e4b63e7,4,0.533000
all sells,0x272251c9df5d63a2f4a25c8cef6f05f544a463758390af2ceac989ed7fdad3d1,18,0.059166
band d. 40-60c,0x2981467025eae74e1ab55c4992297cd53d58048d7dae22345a3ac3faaa4e1ba1,16,-0.766583
all sells,0xe8f31fe9659d7b4373c9224e70bcf129b3113d21e63acf56a1cf52679fbf1e98,2,0.378420
all sells,0x53488dada2f70267524c9cbd7b7ccfda9db11a47e109d896c4954e29faf632a3,1,0.699227
all sells,0xa7deebb8519bfb0d7a1c459c20df71f31314716a70eda8a46f892d0105f225e5,1,-0.392388
band f. 80-90c,0xe2c1d86e0e7209d2b3374874bb38e074fe46103b4d1653889696fc1a82139d77,9,-0.790957
all sells,0xca6ce11f0475186124cbe25657d174c14a1840ae435fb5393c677e6d3a78e0ad,2,0.527993
all sells,0x60f7a2f3b8c0809d9d90e6e92a00696eed517455778a0e031d154f5f5878f067,1,-0.948842
band d. 40-60c,0x8d6d7d3e24d655bb5a55092a1096dbe12fcea01897421edceeef4d175bb691b1,1,-0.440000
band c. 20-40c,0xa8abfc87fd554c04a92fdea754673cfac77b8235a556f4458ad252c3b26ed134,1,-0.241021
band d. 40-60c,0x836373b73a4f074a524ba4dd011aa7cf1c3e2e56ffaca2d5dcc80f7021cc571e,2,0.950000
all sells,0xff1266b4c986c0d521ed466ec86c8539c98643f6b64445aac8e4320dddf5ff6b,1,0.119752
all sells,0x465f512a6d79c9e16c83264f011b045d0e5e8c66b6f12567f752e42da40c965e,2,-0.892478
all sells,0xa5f8e4d491d672211c08011407b8c5cd1c53302fa78bff633fb60cb9a0e7c045,7,2.459968
all sells,0x69dbec3ac87ee94e2ce963005ae0096fe1e9d182b8ff42cf90cd051709fba306,4,0.766518
band d. 40-60c,0xaaa1199edb46cd504ac4aad689d4a25c423e6431ed7564443ead2b68ea234874,1,0.410000
band e. 60-80c,0x876f56564ac763be885001d0ab52c78d2b8a1dfb05b68d4a2ce6bdeb959cc93a,2,0.640691
all sells,0xdec14bfc24a95f72ba3e5a38c2bccbd0e138af80b4e0c3038ee0248fc6940fa9,3,0.544441
band c. 20-40c,0x052a53919f80a40fddd52814c84f02c26ce5f87db780f895f32f44b15f5939fb,1,0.797103
all sells,0xcaaa1338d38b5c614196c9a926dd84babc3984442f2ec9b937a16284a199ec3a,56,-21.873113
